"";"text";"type";"Englisch"
"222";"Es hat alles sehr super und unkompliziert Funktioniert, kann man nur weiter empfehlen…";"Initiativ";"Everything worked very well and uncomplicatedly, you can only recommend it to others..."
"223";"Freundliche, kompetente Unterstützung bei der Ausschreibung. Gesprächstermine werden genau eingehalten. Da sich für uns eine andere Lösung ergeben hatte, kam der Kreditvertrag nicht zustande. Der Ablauf bis dahin war reibungslos.";"Gewissenhaft";"Friendly, competent support during the tender process. Appointments are strictly adhered to. Since a different solution had arisen for us, the credit agreement was not concluded. The process until then was smooth."
"224";"Unkomplizierte und vor allem persönliche Abwicklung der Anfragen. Ich war zu Anfang skeptisch unternehmensrelevante Daten hochzuladen. Durch ein persönliches Gespräch mit unserem veranwortlichen Betreuer, wurden diese Bedenken aber sofort entkräftet. Die Anfragen wurden in ein bis zwei Wochen positiv entschieden. Das nächste Mal werden wir genauso wieder vorgehen.";"Stetig";"Uncomplicated and above all personal handling of enquiries. At the beginning I was sceptical about uploading company-relevant data. Through a personal conversation with our responsible supervisor, however, these concerns were immediately refuted. The inquiries were positively decided in one to two weeks. Next time we'll do the same again."
"225";"Persönliche Beratung top";"Stetig";"Personal advice top"
"226";"Sehr überzeugender Service! Kompetent und schnell! Werde es auf jeden Fall wieder nutzen.";"Initiativ";"Very convincing service! Competent and fast! I'll definitely use it again."
"227";"Hat super geklappt.";"Initiativ";"Worked great."
"228";"Ich hatte einen Kontokorrentkredit ausgeschrieben und innerhalb einer Woche hatte ich drei Angebote, die günstiger waren als bei meiner Hausbank. Echt Klasse. Mache meine nächsten Finanzierungen auch wieder mit unternehmen.";"Stetig";"I had a current account credit written out and within a week I had three offers which were cheaper than with my house bank. Really great. Do my next financing also again with undertake."
"229";"*Gute Ansprache und Erreichbarkeit eines Beraters Lösungs- und erfolgsorientierte Herangehensweise Die Finanzierung konnte erfolgreich abgeschlossen werden";"Gewissenhaft";"*Good approach and availability of a consultant *Solution and success-oriented approach *Financing successfully completed"
"230";"Alles bestens!";"Dominant";"Everything's fine!"
"231";"Alles bestens, bei Bedarf gerne wieder.";"Stetig";"Everything's fine, and we'll be happy to do it again if you need it."
"232";"alles ok";"Dominant";"everything ok"
"233";"alles super gelaufen mit der kompletten Abwicklung";"Initiativ";"everything ran super with the complete handling"
"234";"Angefragt hatte ich das Sale and Lease Back meines Maschinenparks. Da die Bewertung der Maschinen sich seitens Gutachter etwas gezogen hat, konnte mein Berater mir binnen weniger Stunden eine Kreditzusage über ein Engagement von ***€ Einholen. So stelle ich mir das vor!";"Gewissenhaft";"I had asked for the Sale and Lease Back of my machinery. Since the evaluation of the machines has itself on the part of consultants something pulled, my advisor could obtain a credit promise to me within fewer hours over an engagement of ***€. That's what I'm thinking!"
"235";"Ansprechpartner hat sich sofort um unser Anliegen gekümmert und uns bis zur Lieferung mit Rat und Tat begleitet. Er war verbindlich und hat alle Zusagen gehalten. Top Leistung !!! Es war nur ein Waschanlagen Kauf, aber ich würde auch größere Projekte mit dem Anbieter machen.";"Initiativ";"The contact person immediately took care of our request and accompanied us with words and deeds until delivery. He was binding and kept all promises. Top performance !!! It was just a car wash purchase, but I would also make larger projects with the supplier."
"236";"Auch wenn wir bis dato noch keine Fremdmittel aufnehmen mussten, über unternehmen ging das sehr schnell und relativ einfach ohne aufwendige bürokratische Hürden.";"Gewissenhaft";"Even though we hadn't had to borrow any funds so far, we were able to do this very quickly and relatively easily without any complicated bureaucratic hurdles."
"237";"Auf der Suche nach einer Sattelzugmaschine bin ich auf unternehmen gestoßen. Innerhalb kürzester Zeit hatte ich vier Angebote vorliegen und konnte mir das optimale aussuchen. Der Ablauf war schnell und unkompliziert, ich sage Danke!";"Gewissenhaft";"In my search for a tractor unit, I came across some companies. Within a very short time I had four offers and was able to choose the best one. The process was quick and uncomplicated, I say thank you!"
"238";"Auf Umwegen haben wir von dieser Finanzagentur erfahren. Nach einer Anfrage von unserer Seite bekamen wir sofort einen hilfreichen Rückruf zur Abklärung unserer Situation. Daraufhin haben wir spontan alle Unterlagen erhalten, die wir zur Darstellung unseres Finanzproblems brauchten. Die Firma unternehmen hat sich sogleich mit unseren Unterlagen auf die Suche nach einem Finanzpartner begeben. Wenige Tage später erreichten uns dann entsprechende Angebote. Wir sind zu 100% zufrieden gestellt worden.";"Initiativ";"We have learned about this finance agency through detours. After a request from our side, we immediately got a helpful call back to clarify our situation. As a result, we spontaneously received all the documents we needed to present our financial problem. The company unternehmen immediately started to search for a financial partner with our documents. A few days later we received corresponding offers. We have been 100% satisfied."
"239";"Beim Wareneinkauf konnte mich unternehmen. Mit einer Einkaufsfinazierung perfekt Unterstützen. Ich freue mich auf das nächste Projekt.";"Stetig";"When buying goods could do me. Support perfectly with a purchasing refinement. I'm looking forward to the next project."
"240";"Beratung war sehr zielführend.";"Dominant";"Consulting was very target-oriented."
"241";"Besonders gelungen war der unkomplizierte Datenaustausch mit unternehmen. Nach der Anmeldung erhielten wir zugang zu einer Plattform auf welcher wir unsere Dokumente umgehen hochladen und den Bearbeitungsstand einsehen konnten.";"Gewissenhaft";"The uncomplicated data exchange with companies was particularly successful. After the registration we got access to a platform where we could bypass our documents, upload them and view the processing status."
"242";"Bin sehr zufrieden, ging Alles schnell und kompetent über die Bühne.";"Dominant";"I am very satisfied, everything went quickly and competently over the stage."
"243";"Dank unternehmen konnte ich einen passenden Factoringpartner finden mit dem ich sehr gut zusammenarbeite. Der Vergleich der Konditionen und Gebühren hat mir viel Zeit und Aufwand gespart";"Gewissenhaft";"Thanks to unternehmen I was able to find a suitable factoring partner with whom I work very well. The comparison of conditions and fees saved me a lot of time and effort."
"244";"Dank unternehmen konnte ich mir eine Anschlussfinanzierung innerhalb weniger Tage sichern. Damit konnte ich meine Geschäftsfelder erweitern und den Umsatz steigern. Kann ich so empfehlen.";"Stetig";"Thanks to unternehmen unternehmen I was able to secure follow-up financing within a few days. This enabled me to expand my business areas and increase sales. I recommend it."
"245";"Der Einsatz aller Mitarbeiter von unternehmen war beispielhaft. Zu jedem vereinbarten Termin kamen pünktlich die Ansagen. Durch die Vermittlung von unternehmen konnten wir eine Lösung für unsere Finanzierung finden. Wir werden unternehmen in jedem Falle weiterempfehlen.";"Initiativ";"The commitment of all company employees was exemplary. The announcements came punctually to every agreed date. Through the mediation of companies, we were able to find a solution for our financing. We will recommend companies in any case."
"246";"Der Finanzbedarf wurde kompetent und schnell gelöst. Vielen Dank";"Dominant";"The financial requirements were solved competently and quickly. Thank you very much."
"247";"Der Finanzberater war zu jeder Zeit hilfsbereit und erreichbar. Er verstand es perfekt unsere Gedanken und Wünsche in sehr kurzer Zeit umzusetzen. Jede Frage wurde sofort verständlich beantwortet. Wir werden diese Firma jederzeit, jedermann empfehlen und auch wir werden diese in Zukunft wieder nutzen";"Initiativ";"The financial advisor was helpful and available at all times. He perfectly understood how to implement our thoughts and wishes in a very short time. Every question was answered immediately and comprehensibly. We will recommend this company to anyone at any time and we will also use it again in the future."
"248";"Der Kundenberater war freundlich, zielorientiert und konnte uns kompetent zur Seite stehen. Gerne wieder.";"Stetig";"The client advisor was friendly, goal-oriented and was able to support us competently. I'd love to."
"249";"Die Abläuf bei unternehmen sind für mich nicht ganz klar und wenig nachvollziehbar. Die Bearbeitung des Vorgangs hat sehr lange gedauert (mehrere Wochen) und über den Bearbeitungssstand wurde ich nur auf Nachfrage informiert.";"Gewissenhaft";"For me, the processes at companies are not quite clear and hardly comprehensible. The process took a very long time (several weeks) and I was only informed about the processing status upon request."
"250";"Die Abwicklung verlief schnell, unkompliziert über Mail`s. Besonders möchte ich den freundlichen Kontakt zu Ihrer Mirarbeiterin,***, hervorheben. Bei Bedarf werde ich gern wieder auf Sie zukommen. mfG";"Initiativ";"The processing was fast, uncomplicated via mail. Especially I would like to emphasize the friendly contact to your Mirarbeiterin,***,. If necessary I will gladly come back to you. mfG"
"251";"Die Abwicklung war von Anfang an professionell, zügig und offen. Das Team freundlich und jederzeit erreichbar. Wir sind sehr zufrieden. Wir werden unternehmen weiter empfehlen.";"Stetig";"The handling was professional, quick and open right from the start. The team is friendly and always available. We are very satisfied. We will recommend companies to others."
"252";"Die anforderten Dokumente des Finanzierers waren relativ viel, aber trotzdem hat uns unternehmen dabei unterstützen können!";"Gewissenhaft";"The requested documents of the financier were relatively much, but nevertheless unternehmen was able to support us!"
"253";"Die Aufgabenstellung war unter den aktuellen Betriebszahlen und Entwicklungen sehr schwierig. Aber zusammen mit *** haben wir einen Partner gefunden, der eine EInkaufsfinanzierung zu passenden Konditionen und Abwicklungsprozessen mit trägt. Ein Ausbau der Zusammenarbeit kann ich mir sehr gut vorstellen.";"Initiativ";"The task was very difficult under the current operating figures and developments. But together with ***, we have found a partner who can provide purchasing finance at the right conditions and with the right handling processes. I can very well imagine an expansion of the cooperation."
"254";"Die Beratung unseres Betreuers war sehr freundlich und kompetent. Kann unternehmen nur weiterempfehlen. Wünschte es würde noch etwas weniger Unterlagen benötigt, aber das hängt wohl von den finanzierenden Kreditinstituten ab. unternehmen hat sehr gut moderiert und über die Plattform hatte ich immer Einsicht in den aktuellen Stand meiner Anfrage.";"Stetig";"The advice of our supervisor was very friendly and competent. Can only recommend company to others. I wish I needed a little less documentation, but that probably depends on the financing credit institutions. unternehmen moderated very well and via the platform I always had access to the current status of my enquiry."
"255";"Die Beratung war sehr Kompetent. Der Berater war ständig erreichbar und kümmerte sich um jegliches Anliegen bestens. Die Finanzierung wurde auf meine Bedürfnisse angepasst. Ich bin mit dem Gesamtergebnis sehr zufrieden.";"Stetig";"The advice was very competent. The consultant was always available and took care of any concern in the best possible way. The financing was adapted to my needs. I am very satisfied with the overall result."
"256";"Die Beratung war überaus kompetent, bemüht und lösungsorientiert. Innerhalb kurzer bekam ich eine sehr gute und passende Finanzierungslösungen.";"Dominant";"The consultation was extremely competent, endeavoured and solution-oriented. Within a short time I got a very good and suitable financing solution."
"257";"die Firma unternehmen war die einzige die uns Helfen konnte und die Einzigen die sich bemüht haben den Kunden alles zu ermöglichen. wir haben eine Finanzierung über eine Leasing bekommen und haben einen Mietkauf bekommen für eine Solaranlage mit super Konditionen. Da es für Kleingewerbe sehr schwer ist eine Finanzierung egal welcher art zubekommen haben unternehmen super Arbeit gemacht. Danke Danke auch an *** Finanzierungsberater der sich da Reingekniet hat.";"Initiativ";"the company was the only one who could help us and the only ones who tried to make everything possible for the customers. we got a financing through a leasing and got a hire purchase for a solar system with great conditions. Since it is very difficult for small businesses to get financing of any kind, companies have done a great job. Thank you also to *** Finanzierungsberater der sich da Reingekniet hat."
"258";"Die Mitarbeiter sind sehr freundlich und Fachkompetent und versuchen jederzeit die Wünsche der Kunden zu realisieren.Es wird jederzeit versucht das beste Angebot für den Kunden zu finden. Die Firma unternehmen können wir jeder Firma weiterempfehlen.";"Stetig";"The employees are very friendly and competent and always try to realize the customer's wishes and to find the best offer for the customer. We can recommend this company to any company."
"259";"Die Mitarbeiter von unternehmen waren für meinen Mandaten an individuellen Lösungen interessiert. Sehr service- und kundenorientiert.";"Stetig";"The employees of companies were interested in individual solutions for my mandates. Very service- and customer-oriented."
"260";"Die schnelle und kompetente Beratung sowie der Einsatz der Mitarbeiter ist vorbildlich im Finanzsektor. Die Konditionen und Abwicklung ist 1A. Immer gern wieder. LG.";"Initiativ";"The fast and competent advice as well as the commitment of the employees is exemplary in the financial sector. The conditions and handling is 1A. I'll do it again and again. LG."
"261";"Die Vorabzahlung war etwas ungewöhnlich aber fair. unternehmen konnte uns professionell bei der Einrichtung einer Factoringlinie unterstützen.";"Stetig";"The advance payment was somewhat unusual but fair. unternehmen was able to provide us with professional support in setting up a factoring line."
"262";"Dies war unser zweiter Abschluss mit unternehmen und wir sind immer noch höchst zufrieden.";"Initiativ";"This was our second deal with unternehmen and we are still highly satisfied."
"263";"Diskrete und angenehme Finanzabwicklung";"Gewissenhaft";"Discreet and pleasant financial processing"
"264";"Durch ein übersichtliches Portal unterstützte Beratung. Die Planung und Umsetzung einer Finanzierung für unser Unternehmen ging sehr schnell und absolut problemlos. Bei der Beratung wird viel Wert darauf gelegt, das Business-Modell komplett durchschaut zu haben.";"Gewissenhaft";"Consulting supported by a clear portal. The planning and implementation of financing for our company went very quickly and without a hitch. During the consulting process, great importance is attached to having a complete understanding of the business model."
"265";"Eigentlich 5 Sterne, aber leider wurde uns nicht der volle Kreditbetrag gestattet.";"Stetig";"Actually 5 stars, but unfortunately we were not allowed the full credit amount."
"266";"Ein Super Team !!! Alles sehr unkompliziert, ein toller Service, rasche Bearbeitungszeit. unternehmen ist nur zu Empfehlen.";"Initiativ";"A great team!!! Everything very uncomplicated, a great service, quick processing time. company is only to be recommended."
"267";"Eine sehr gute Alternative zum klassischen Weg über die Hausbank. Sehr zu empfehlen.";"Stetig";"A very good alternative to the classic way via the house bank. Highly recommended."
"268";"Einfache, schnelle und unbürokratische Abwicklung, besonders wichtig bei kleinen Unternehmen wie unseres, da keine Zeit verschwendet werden muss für langwierige Beschaffung von Unterlagen, die nachher doch nicht bewertet werden. Faire Gebühren ! Werde nächsten Bedarf wieder mit Ihnen angehen.";"Initiativ";"Simple, fast and unbureaucratic handling, especially important for small companies like ours, as no time has to be wasted for protracted procurement of documents that are not evaluated afterwards. Fair fees ! I'll go back to next need with you."
"269";"Einfacher Prozess, Top Service und sehr zügig!";"Initiativ";"Simple process, top service and very fast!"
"270";"Empfehlenswert und wird gerne weiter empfohlen!";"Stetig";"Recommendable and is gladly further recommended!"
"271";"Engagiert, zielorientiert und effektiv also genau was man sich von einem Dienstleister erwartet. Es ist somit sehr viel einfacher als selber die Angebote zu vergleichen wenn es mal um komplexere Leasinganfragen geht was wiederum Zeit und somit Geld spart. Der Service war persönlich ausgerichtet und daher würde ich ihn jederzeit wieder in Anspruch nehmen.";"Initiativ";"Dedicated, goal-oriented and effective - exactly what you expect from a service provider. It is therefore much easier than comparing the offers yourself when it comes to more complex leasing enquiries, which in turn saves time and money. The service was personal and therefore I would use it again at any time."
"272";"Es halt alles prima geklappt - es wurde sich gekümmert und auch auf Ablehnung von Angeboten nicht unwirsch reagiert";"Initiativ";"Everything worked out just fine - it was taken care of and also on rejection of offers not inhomogeneously reacted"
"273";"Es hat nicht einmal 48 Stunden gedauert bis ich die ersten Angebote von Finanzierungspartnern hatte";"Initiativ";"It didn't even take me 48 hours to get the first offers from financing partners."
"274";"Extrem schnell in den Reaktionen, super freundlich und kompetent, hervorragend auf digitale Abwicklung spezialisiert, die Abfolgen von Abfragen-Info´s auswerten-neue Info´s abfragen-auswerten-Finanzierer auswählen ... sind so getaktet, dass der Anfrager schon Mühe hat, diese Taktzahl zu halten. Sehr angenehme Begleitung durch diesen Prozess, Auswahl des richtigen Finanzierers, marktkonforme Konditionen, schnelle und kurze Entscheidung. Es gibt nichts, was zu kritisieren / verbessern ist. :-):-)";"Initiativ";"Extremely fast in the reactions, super friendly and competent, outstandingly specialized in digital processing, evaluate the sequences of query info's-evaluate new query info's-evaluate financiers ... are clocked in such a way that the inquirer already has trouble keeping this number. Very pleasant accompaniment through this process, selection of the right financier, conditions in line with the market, quick and short decision. There is nothing to criticize / improve. :-):-)"
"275";"Exzellenter Service!";"Initiativ";"Excellent service!"
"276";"unternehmen bietet als innovative digitale Finanzierungsplattform für kleine und mittlere Unternehmen einen unabhängigen Finanzierungsvergleich. Dieser bezieht sich nicht nur auf die Zinskondition, sondern auch auf Service- und Nebenleistungen. Hierfür stehen circa 200 Finanzierungspartner mit ihren Diensleistungen zur Verfügung. Die Menustruktur ist anwenderfreundlich und es wird ein regelmäßiger Austausch per Telefon oder per Mail gepflegt. Kompetente und kundenorientierte Abwicklung. Bestens!";"Gewissenhaft";"As an innovative digital financing platform for small and medium-sized enterprises, the company offers an independent financing comparison. This refers not only to the interest conditions, but also to services and ancillary services. Approximately 200 financing partners with their services are available for this purpose. The menu structure is user-friendly and a regular exchange is maintained by telephone or e-mail. Competent and customer-oriented processing. Fine!"
"277";"unternehmen hat es meinem Unternehmen ermöglicht schnell an die nötigen liquiden Mittel zu kommen um einen Großauftrag zu erfüllen! Besten Dank";"Gewissenhaft";"The company has enabled my company to quickly obtain the necessary liquid funds to fulfil a major order! Many thanks"
"278";"unternehmen hat mir bei der Liquiditätsbeschaffung enorm geholfen. EInfach zu bedienendes Portal und zusätzlich toller Support. Kann ich nur empfehlen.";"Stetig";"The company helped me enormously with the procurement of liquidity. Easy to use portal and additional great support. I can only recommend it."
"279";"unternehmen hat mir eine super Dienstleistung geliefert und mir eine breite Übersicht über Angebote am Markt aufgezeigt. Meine nächste Anfrage werde ich auf jeden Fall wieder bei unternehmen stellen.";"Initiativ";"The company provided me with a great service and showed me a broad overview of offers on the market. My next request I will definitely put back to unternehmen."
"280";"unternehmen hat uns eine kurzfristige Finanzierung von offenen Forderungen vermittelt. Die Kontakte zu den Finanzierungspartnern wurden schnell hergestellt. Bei Problemen wurde schnell reagiert. Wir waren sehr zufrieden.";"Initiativ";"The company has provided us with short-term financing for outstanding receivables. Contacts with the financing partners were established quickly. In case of problems the system reacted quickly. We were very pleased."
"281";"unternehmen hat uns seit der Gründung unseres Unternehmens in herausragender Weise bei der Optimierung unseres Working Capitals unterstützt. Dies bezieht sich vor allem auf die Beratungsqualität und die Schnelligkeit der Umsetzung unserer Projekte. Vielen Dank !!!";"Initiativ";"Since the foundation of our company, the company has provided us with outstanding support in optimizing our working capital. This applies above all to the quality of our advice and the speed with which we implement our projects. Thank you so much!!!"
"282";"unternehmen ist ein seriöses Unternehmen welches auf das Wohlempfinden Ihrer Kunden bedacht ist! Ich kann dieses Unternehmen und *** weiterempfehlen! Vielen dank";"Stetig";"company is a serious enterprise which is intent on the well-being feeling of your customers! I can recommend this company and ***! Thank you"
"283";"unternehmen ist eine super Portallösung mit persönlichen Beratern, die freundlich und zuverlässig passende Finanzierungslösungen erstellen.";"Initiativ";"The company is a super portal solution with personal consultants who create suitable financing solutions in a friendly and reliable manner."
"284";"unternehmen konnte mir eine Lösung ausarbeiten die letztlich zum Erfolg führte. Der für mich zuständige Mitarbeiter ist mit Eifer, Konsequenz und auch der nötigen Portion Freundlichkeit and die Sache gegangen und hat, so denke ich auch durch seinen persönlichen Einsatz, damit zum Gelingen beigetragen. Ich kann die Zusammenarbeit empfehlen.";"Initiativ";"The company was able to work out a solution that ultimately led to success. The employee responsible for me has gone with zeal, consistency and also the necessary portion of friendliness to the thing and has, so I think also by his personal commitment, contributed to the success. I can recommend the cooperation."
"285";"unternehmen sieht sich als langfristiger Partner beim Wachstum. Wir sind ein kleines Unternehmen mit Wachstumspotential, wo sich aber auch aufgrund der Branche und der Phase, in der wir stecken, die Strategien immer schnell ändern können. Da ist dann der Weg der klassischen Finanzierung häufig schwierig. Hier hat man verstanden, dass gerade junge schnell wachsende Unternehmen individueller betreut und beraten werden müssen.";"Gewissenhaft";"The company sees itself as a long-term partner for growth. We are a small company with growth potential, but the industry and the phase we are in mean that strategies can always change quickly. The path of classical financing is then often difficult. Here it has been understood that young, fast-growing companies in particular need to be looked after and advised more individually."
"286";"unternehmen war sehr bemüht unser Anliegen zu verstehen und schlussendlich lag ein gutes Leasingangeobt, welches wir angenommen haben, vor.";"Gewissenhaft";"The company was very keen to understand our concern and finally there was a good leasing offer which we accepted."
"287";"Folgegeschäft - schnell und unkompliziert, genau wie beim ersten Mal. Super!";"Initiativ";"Follow-up business - fast and uncomplicated, just like the first time. Great!"
"288";"Freundlich und kompetente Beratung am Telefon, danach ging es sehr schnell und nach nur zwei Wochen wurde uns der Kredit ausbezahlt.";"Stetig";"Friendly and competent advice on the phone, then it went very quickly and after only two weeks the loan was paid out to us."
"289";"freundliche Beratung, kompetentes Team";"Stetig";"friendly advice, competent team"
"290";"günstigen kredit bekommen-geld gespart. das ist alles was zählt";"Initiativ";"cheap credit get money saved. that's all that matters."
"291";"Gute Abwicklung, schnelle Reaktion, ausführliche Angebotsausarbeitung!";"Gewissenhaft";"Good handling, fast reaction, detailed offer elaboration!"
"292";"gute beratung , zielorientiertes schnelles Vorgehen";"Dominant";"good consulting , goal-oriented fast procedure"
"293";"Gute Lösungsansätze, kompetente Unterstützung.";"Stetig";"Good solutions, competent support."
"294";"Gute und Kompetente Beratung, schnelle Reaktionszeiten.";"Dominant";"Good and competent advice, fast response times."
"295";"Gute und schnelle Bearbeitung meiner Anfrage";"Gewissenhaft";"Good and fast processing of my request"
"296";"Guter Service, ein sehr kompetenter Berater (***) und ein faires Angebot. Wir werden bei der nächsten Finanzierung wieder anfragen!";"Stetig";"Good service, a very competent consultant (***) and a fair offer. We will ask again with the next financing!"
"297";"Habe eine sehr gute Erfahrung mit dem Service von unternehmen gehabt. In weniger als zwei Wochen war meine Finanzierung gestemmt.";"Stetig";"Have had a very good experience with the service of undertaking. In less than two weeks, my financing was complete."
"298";"Haben mir zwar nicht komplett aber zum grossen teil geholfen. Sehr netter kontakt und hilfsbereit";"Stetig";"Didn't help me completely but helped me a lot. Very nice contact and helpful"
"299";"Hat alles gut geklappt und konnte zügig abgewickelt werden - ein professioneller Partner!";"Initiativ";"Everything went well and could be handled quickly - a professional partner!"
"300";"Ich bin sehr positiv überrascht gewesen. Sehr schnelle und kompetente Abwicklung. Jederzeit wieder";"Initiativ";"I was very positively surprised. Very fast and competent handling. Anytime again"
"301";"Ich freue mich unternehmen als zuverlässigen Partner an meiner Seite gehabt zu haben. Done done. Danke!";"Stetig";"I am happy to have had company as a reliable partner at my side. Done done. Thank you. Thank you."
"302";"Ich gebe unternehmen 5 Sterne aner auch den neuen Zugmaschienen.";"Initiativ";"I give undertake 5 stars aner also the new pulling machines."
"303";"Ich hatte anfangs Bedenken weil soviele Dokumente gefordert wurden. Doch das kompetente Team von unternehmen konnte meine Bedenken zerstreuen. Bei unternehmen ist man immer direkt am Berater und landet nicht im Callcenter.";"Stetig";"I was initially concerned because so many documents were requested. But the competent team of companies was able to dispel my concerns. With companies, you are always directly at the consultant and do not end up in the call center."
"304";"Ich war insgesamt sehr zufrieden, und letztendlich zählt sowieso nur das Ergebnis (=Das Zustandekommen der Finanzierung). Der einzige Kritikpunkt aus meiner Sicht ist Ihr Telefonsystem: Wenn man versucht, den persönlichen Berater auf der vermeintlichen Durchwahl anzurufen, landet man immer in endlosen Warteschleifen. Das macht einen komischen Eindruck, und es erzeugt Misstrauen bei Leuten, die Sie noch nicht kennen.";"Gewissenhaft";"I was very satisfied on the whole, and in the end only the result counts anyway (= the financing). The only criticism from my point of view is your telephone system: If you try to call your personal advisor on the supposed extension, you always end up in endless waiting loops. It makes a funny impression, and it creates distrust in people you don't know yet."
"305";"Ich war mit dem Prozess bei unternehmen eigentlich sehr zufrieden, nur haben die Partner relativ lange gebraucht um eine Entscheidung zu fällen. Diese war jedoch positiv und damit alles gut.";"Stetig";"I was actually very satisfied with the process at the company, but it took the partners a relatively long time to make a decision. However, this was positive and everything was fine."
"306";"Ich war überrascht wie schnell die Finanzierung geklappt hat und mit wie wenig Aufwand. Der Service von unternehmen war sehr professionell und zielführend.";"Initiativ";"I was surprised how quickly the financing worked and with how little effort. The service provided by the company was very professional and target-oriented."
"307";"Im Vergleich zu klassischen Geschäftsbanken sind die angeforderten Unterlagen auf das Notwendigste beschränkt. Dadurch kommt es zu einem schlanken und schnellen Entscheidungsprozess innerhalb kürzester Zeit. Transparent, ehrlich, fair";"Initiativ";"Compared to traditional commercial banks, the documents requested are limited to what is necessary. This results in a lean and fast decision-making process within the shortest possible time. Transparent, honest, fair"
"308";"Kann ich nur weiter empfehlen!";"Initiativ";"I can only recommend it!"
"309";"Klare ,strukturierte Vorgehensweise . Berücksichtigung der firmenspezifischen Problemfelder . Gemeinsame Bewertung des aktuellen und kurzfristigen Finanzbedarfs für neue Projekte . Verständnis für komplizierte Zusammenhänge wie Auslandsgeschäfte (z.B .Indien ) Im Vergleich zu  herkömmlichen  Kreditinstituten - auch Hausbank - wesentlich flexibler , also jederzeit empfehlenswert . (relativ hoher Zins ) Auch die sogn. Nachbetreuung ist absolut ok.";"Gewissenhaft";"Clear, structured approach . Consideration of company-specific problem areas . Joint assessment of current and short-term financial needs for new projects . Understanding for complicated connections like foreign business (e.g. India) Compared to conventional credit institutes - also house bank - substantially more flexible, thus at any time recommendable. (relatively high interest rate) Also the so-called aftercare is absolutely ok."
"310";"Klarer Ablauf, gute Beratung und super Vergleich. War eine neue Erfahrung, dass es auch so unkompliziert laufen kann.";"Initiativ";"Clear procedure, good advice and super comparison. Was a new experience that it can run so uncomplicated."
"311";"Kompetent, freundlich und hilfsbereit.";"Stetig";"Competent, friendly and helpful."
"312";"Kompetente Beratung, schnelle Bearbeitungszeit und erfolgreicher Abschluss. Vielen Dank!";"Dominant";"Competent advice, fast processing time and successful conclusion. Thank you very much."
"313";"Kompetente und freundliche Beratung";"Stetig";"Competent and friendly advice"
"314";"Kundenbetreung";"Stetig";"customer service"
"315";"Kundenfreundlich versucht auch in schwierigen fällen zu helfen.";"Stetig";"Customer-friendly tries to help even in difficult cases."
"316";"Kurzer Kontakt zur Entscheidungsfindung. Abwicklung des Kreditverfahrens zügig und aus unserer sicht gut.";"Dominant";"Short contact for decision making. The credit procedure was handled swiftly and, from our point of view, well."
"317";"Kurzer und einfacher Finanzierungsprozess, extrem gute Kundenberatung.";"Initiativ";"Short and simple financing process, extremely good customer advice."
"318";"Kurzes Briefing, super Beratung, schnelle Lösung mit nachhaltigen Erfolg!!!";"Initiativ";"Short briefing, great advice, quick solution with lasting success!!!"
"319";"Liebes Team von unternehmen, vielen Dank für Ihre Empfehlung. Indaro hat uns super betreut. Sehr freundliches, geduldiges und fachkompetentes Team. Auf jeden Fall 5 Sterne!!";"Initiativ";"Dear team of companies, thank you very much for your recommendation. Indaro cared for us super. Very friendly, patient and competent team. Five stars, anyway!"
"320";"Man erhält unterschiedlichste Angebote und kann sich so für das bestmögliche entscheiden.";"Gewissenhaft";"You receive a wide variety of offers and can thus choose the best possible one."
"321";"Manchmal wird man von der Anzahl der am Markt verfügbaren Finanzierungsmöglichkeiten überfordert. unternehmen hat unsere Anforderungen analysiert und für uns die bestmögliche Finanzierung gefunden. Danke für die Unterstützung!";"Gewissenhaft";"Sometimes you are overwhelmed by the number of financing options available on the market. The company has analysed our requirements and found the best possible financing for us. Thank you for your support!"
"322";"Mein Berater zeigte mir eine Lösung auf, mit der ich in der Lage war den Wareneinkauf für einen Großauftrag zu stemmen - ein enormer Hebel für mich und meine Firma! Ich komme wieder";"Initiativ";"My consultant showed me a solution with which I was able to handle the purchase of goods for a large order - an enormous lever for me and my company! I'll be back"
"323";"Meine Erfahrung mit unternehmen ist sehr positiv. Von der ersten Kontaktaufnahme bis zum Abschluss und sogar bis zur Nachbetreuung, wird zu jeder Phase der Zusammenarbeit ein offener Umgang vorgelebt. Ein ganz besonderer Dank geht an ***, der neben seiner fachlichen Kompetenz stets bemüht war, das richtige Programm/Modul mit TOP-Konditionen als Lösung herbeizuführen. unternehmen würde ich auf Grund der Seriösität und der schnellen sowie zuverlässigen Abwicklung jedem weiterempfehlen.";"Initiativ";"My experience with companies is very positive. From the first contact up to the conclusion and even up to the aftercare, an open contact is exemplified at every phase of the cooperation. A very special thanks goes to ***, who in addition to his technical competence always tried to find the right program/module with TOP conditions as a solution. Due to the seriousness and the fast as well as reliable handling I would recommend to everyone."
"324";"Meine Finanzierungsanfrage wurde professionell und effektiv bearbeitet mit einem erfolgreichen sowie wirtschaftlichen Abschluss.";"Gewissenhaft";"My financing request was processed professionally and effectively with a successful and economic conclusion."
